scheme,scheme_label,artifact_type,severity_label,severity_value,sample_index,score,deployment_threshold,research_threshold
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_75,0.75,9,27.483360290527344,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_75,0.75,10,23.26768684387207,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_75,0.75,11,23.469257354736328,38.58238201141357,32.05723571777344
patchcore_l3,PatchCore L3,text_watermark,opacity_0_75,0.75,0,39.06367111206055,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_75,0.75,1,28.892770767211914,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_75,0.75,2,27.98464584350586,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_75,0.75,3,33.273216247558594,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_75,0.75,4,37.79798126220703,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_75,0.75,5,37.03993225097656,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_75,0.75,6,30.36492347717285,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_75,0.75,7,33.26410675048828,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_75,0.75,8,39.48326110839844,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_75,0.75,9,32.72603988647461,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_75,0.75,10,32.68034362792969,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_75,0.75,11,42.49452209472656,34.763293457031246,26.80457305908203
autoencoder,Autoencoder,text_watermark,opacity_0_75,0.75,0,0.00019469147082418203,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_75,0.75,1,0.0013863975182175636,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_75,0.75,2,0.001439291867427528,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_75,0.75,3,0.0010172317270189524,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_75,0.75,4,0.0006921796011738479,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_75,0.75,5,0.0006341516273096204,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_75,0.75,6,0.0007804035558365285,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_75,0.75,7,0.0004690637288149446,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_75,0.75,8,0.00037499493919312954,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_75,0.75,9,0.0007412514532916248,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_75,0.75,10,0.0008882310357876122,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_75,0.75,11,0.0001136349092121236,0.0017387918487656,0.0001624995929887
image_statistics,Image statistics,text_watermark,opacity_0_75,0.75,0,1.1439340114593506,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_75,0.75,1,0.8347550630569458,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_75,0.75,2,0.8085200786590576,1.7220234692096696,0.6057427525520325
